Index eps_r             loss_t           
   54 +3.8255722542E-01 +1.3988132587E-01
   55 +3.2477265065E-01 +1.6673981604E-01
   56 -4.0095991834E-01 +1.3148359305E-01
   57 +2.5831169261E-01 +2.8790398250E-01
   58 +4.6555056321E-01 +2.1684985619E-02
   59 -2.1165337396E-01 +1.7497035611E-01
   60 +1.3834320877E+00 +3.3200037671E-01
   61 -6.5226945152E-02 +1.0350311351E-01
   62 +4.9153945461E-01 +3.6191735372E-01
   63 -3.3845959603E-01 +2.7475449707E-01
   64 +2.8242668785E-01 +2.9954877872E-01
   65 -3.5261831160E-01 +3.5996531654E-01
   66 +5.9392916522E-01 +1.0986551967E-01
   67 -6.9571615739E-02 +1.2962621106E-02
   68 +1.3752974451E+00 +2.1871250128E-01
   69 -1.4555087976E-01 +2.9194449306E-01
   70 -1.3299727963E-01 +3.0527492687E-01
   71 -7.8309798393E-02 +3.1293438049E-01
   72 +6.4648517459E-01 +1.8197623910E-01
   73 -8.8704673130E-02 +3.9202067779E-02
   74 +4.4528814209E-02 +8.4769646274E-02
   75 +2.3546353363E-01 +3.9244912715E-01
   76 +1.1677618035E+00 +3.4790985678E-01
   77 -1.6754520358E-01 +1.1531872254E-01
   78 +2.6332462848E-01 +3.8120306003E-01
   79 +2.7831059809E-01 +3.0753889462E-01
   80 +1.1127111769E+00 +7.0070289328E-02
   81 -3.4275666214E-02 +7.1366702723E-02
   82 +3.9659006994E-01 +4.3672403541E-02
   83 +1.4290267313E+00 +5.3959408398E-02
   84 -2.0387429965E-01 +1.3042702890E-01
   85 -5.8544912522E-02 +1.7252033712E-01
   86 -1.1374628763E-01 +2.4204292963E-01
   87 +1.3226356289E+00 +1.9876387716E-01
   88 +1.3453594930E+00 +2.6418092630E-01
   89 +1.1869685331E+00 +2.6005449022E-01
   90 +6.6068376400E-02 +1.8612597278E-01
   91 +1.1260466002E+00 +3.6044462513E-01
   92 -2.3762868843E-01 +2.5857017995E-02
   93 -3.8204546438E-01 +3.8869903262E-02
   94 +6.0474385896E-01 +2.2709212341E-01
   95 -4.4134204636E-01 +3.3765853835E-01
   96 +3.3564260016E-01 +3.9556780186E-01
   97 +8.9679394587E-01 +4.5748160595E-02
   98 +8.2952949796E-03 +1.6607311327E-01
   99 -4.7342333284E-01 +1.1833313197E-01
  100 -3.6817929221E-01 +4.5599204491E-02
  101 +6.4168860721E-01 +3.7940028852E-01
  102 +7.4027453597E-01 +3.1997003556E-01
  103 +8.1900372831E-01 +2.0668457105E-01
  104 +9.6861500164E-01 +3.5976653910E-01
  105 -3.2348436426E-01 +1.3340186974E-01
  106 -3.6408559063E-01 +1.5493511443E-01
  107 +5.4433185293E-01 +9.3412060179E-02
  108 +6.7149272194E-01 +9.2569868570E-02
  109 +1.0188676295E+00 +1.4251577999E-01
  110 -4.3526058529E-01 +5.0365729462E-02
  111 +2.2637042222E-01 +1.9418354311E-01
  112 -4.1455123972E-01 +2.8700206596E-01
  113 -1.6178692002E-01 +1.9292931170E-01
  114 -3.6180912631E-01 +3.9967557220E-01
  115 +1.4244914329E+00 +3.3781150311E-01
  116 +1.1292612047E+00 +1.9558695155E-01
  117 +3.2755860031E-01 +2.8310237141E-01
  118 -2.8064909390E-02 +3.0597146474E-01
  119 +1.2168591984E+00 +3.7153162030E-01
  120 +9.5534411984E-01 +1.9992266869E-02
  121 +4.3087164946E-01 +4.8262351570E-02
  122 -1.0106142690E-01 +3.5760520285E-01
  123 +6.0635304718E-01 +2.5793740914E-01
  124 +1.4079037952E+00 +2.9810098782E-01
  125 +1.3562781620E+00 +2.4692409309E-01
  126 +1.3898553205E+00 +3.0866654638E-01
  127 +1.9888527577E-01 +3.3724391263E-01
  128 +8.2660346201E-01 +1.4747816196E-02
  129 +1.3840508138E+00 +1.3223616634E-01
  130 +6.4035643078E-01 +2.4520010351E-01
  131 +4.4731355410E-01 +2.4306531322E-01
  132 +3.3322754624E-01 +3.1423071638E-01
  133 -2.5983843955E-01 +3.2944595697E-01
  134 +1.1503074218E+00 +5.9900037154E-02
  135 +1.1464349794E+00 +8.2888361162E-02
  136 -2.7747118975E-01 +1.8098754728E-01
  137 +4.2255168770E-01 +4.4894097106E-02
  138 +1.4554213811E+00 +2.6232051351E-01
  139 +3.5345817309E-01 +1.9765573206E-01
  140 +1.1819360057E+00 +2.2353008230E-01
  141 +1.2146708031E+00 +3.3474953701E-01
  142 +3.0841986595E-01 +2.0493523089E-01
  143 -3.7680364825E-01 +2.6884346218E-02
  144 -3.8626918197E-01 +1.0799265110E-01
  145 +8.7765471409E-01 +1.9351578688E-01
  146 +8.7218138459E-01 +4.5441272969E-03
  147 +1.3354874309E+00 +3.8695167731E-01
  148 +1.3162405721E+00 +1.8072457031E-01
  149 -2.2218096267E-01 +7.0960839238E-03
  150 +1.6923520787E-01 +3.8116467163E-04
  151 +1.0677630761E+00 +1.3998095898E-01
  152 -2.7582576229E-02 +3.5907547772E-01
  153 +9.2249397402E-01 +4.1844604979E-02
  154 -1.2709945892E-01 +1.1021054469E-01
  155 +1.4899228233E-02 +2.5520079542E-01
  156 -5.1112102305E-03 +2.2010446580E-01
  157 +4.4098779416E-01 +2.3982633188E-01
  158 +1.8111382189E-01 +1.6455553463E-01
  159 +1.0686316394E+00 +1.5147689586E-02
  160 +1.4740979295E+00 +1.5700369701E-02
  161 +6.4950671371E-01 +1.8502714337E-02
  162 +1.5817385816E-01 +2.8782889027E-01
  163 -9.4430036749E-02 +2.2895638698E-01
  164 +1.1205633955E-01 +2.9238288241E-02
  165 +9.6112297074E-01 +1.7822279455E-01
  166 +3.1434207276E-01 +3.5088526051E-01
  167 -2.0329608028E-01 +8.6458745647E-02
  168 +9.3260378130E-01 +3.2735727830E-01
  169 +8.1868322363E-01 +2.1427243916E-01
  170 +1.1234343931E+00 +8.5149639937E-02
  171 +8.5971811627E-01 +7.8662950126E-02
  172 -2.9601953356E-01 +6.9505020892E-02
  173 +6.3804411284E-01 +1.8003785813E-01
  174 +2.0258368476E-01 +1.2769536790E-01
  175 -4.1161065912E-01 +1.8285015453E-01
  176 +1.2520774200E+00 +3.1833423392E-01
  177 +7.8733936344E-01 +3.8788984138E-01
  178 +4.3673548401E-01 +3.4730686433E-01
  179 +2.6006076990E-01 +6.6228596516E-02
  180 +5.4130213085E-01 +3.5309374459E-01
  181 +1.3647131271E+00 +3.5710672738E-01
  182 +7.9687432426E-03 +3.7627129029E-01
  183 +3.3128887982E-01 +2.1011740424E-01
  184 +1.0023958596E+00 +3.6990727695E-01
  185 +2.9616116824E-01 +1.7283219983E-01
  186 -3.4910046657E-01 +1.2260313822E-01
  187 +8.9252177568E-01 +9.0129094540E-02
  188 -3.8276171830E-01 +1.8808367954E-01
  189 -2.7515272900E-01 +1.7433036510E-01
  190 +6.7549884799E-01 +2.4168561847E-01
  191 +8.1447882350E-01 +1.8932401835E-01
  192 +7.6691399256E-01 +3.7201998539E-01
  193 +1.1417842025E+00 +2.7329995779E-01
  194 -1.5018287358E-01 +1.0470847129E-01
  195 -1.2237670125E-02 +2.4196582817E-01
  196 +5.1257689037E-01 +9.4234683563E-02
  197 +9.9554829202E-01 +2.7986501645E-01
  198 +9.1821292754E-01 +2.1796182354E-01
  199 +9.9416665020E-01 +1.4231746906E-02
  200 +9.7996664859E-03 +2.7880497624E-01
  201 +2.6332163662E-02 +9.8036187913E-02
  202 -4.1930725382E-01 +1.1363676732E-01
  203 +6.5319787119E-01 +1.3979625789E-02
  204 +5.3677200015E-02 +3.2184125794E-01
  205 +1.1133738517E-01 +6.2922679688E-02
  206 +8.5803997347E-01 +2.9694560254E-01
  207 -5.4220114611E-02 +3.7302962510E-03
  208 -4.9399664490E-01 +1.7336597803E-01
  209 +4.3720711002E-01 +3.9706016358E-01
  210 -2.7436230427E-01 +3.9348617610E-01
  211 +1.1607957158E+00 +1.3399902004E-01
  212 -1.1261998718E-01 +3.3224391480E-01
  213 +3.3490651960E-01 +3.6835160035E-01
  214 +7.1431401332E-01 +2.9715117128E-02
  215 +6.6503943629E-01 +8.7848313203E-02
  216 +9.0967971852E-01 +1.3644358710E-01
  217 +1.0522679344E+00 +2.1457332819E-01
  218 +9.5457126741E-01 +3.8206142818E-01
  219 +3.2840640831E-01 +7.3543645486E-02
  220 +9.5614186053E-01 +3.5111636878E-02
  221 +1.2855909768E+00 +1.6703006298E-01
  222 +7.5640830331E-01 +4.0269536685E-02
  223 +5.6384099258E-01 +2.2759890205E-01
  224 +2.7691749006E-01 +1.3312947864E-01
  225 +4.9873435682E-01 +2.9996216008E-01
  226 +1.3979406471E+00 +3.1180438771E-02
  227 +9.6953518789E-01 +4.1445108186E-02
  228 -4.0778407756E-01 +7.3276200232E-02
  229 +1.4653311973E+00 +2.3264527745E-01
  230 -4.8718707468E-01 +2.8575468192E-01
  231 +2.9218764491E-01 +2.1129759020E-01
  232 +7.9482360999E-01 +3.0953176165E-02
  233 +5.7970458767E-01 +1.6331229772E-01
  234 +5.8209137453E-01 +7.9673951346E-02
  235 +1.3596079721E+00 +2.7059452225E-01
  236 +1.0444391547E+00 +2.4703897364E-01
  237 -1.5062805309E-01 +3.5450568556E-01
  238 +1.2805932663E+00 +2.6965812183E-01
  239 -2.4408954220E-01 +1.9136211748E-01
  240 +8.7737942199E-01 +9.7527116961E-02
  241 +7.8274004007E-01 +9.0424475715E-03
  242 +1.4572431869E+00 +3.8808211740E-01
  243 +5.0029569315E-01 +3.3509007968E-01
  244 -4.9003419420E-01 +1.7970859656E-01
  245 -1.0675549568E-01 +7.8934265161E-02
  246 +4.2162575417E-01 +4.3826880495E-02
  247 +8.7596810945E-01 +3.0426915362E-02
  248 +3.2145034088E-01 +3.8467597124E-01
  249 -1.7598939382E-02 +3.9659971047E-01
  250 -4.4249139553E-01 +2.6717331511E-01
  251 +7.5632842938E-02 +3.6666786320E-01
  252 +3.6899815093E-01 +1.3623192273E-01
  253 +3.1654950954E-01 +2.8003934308E-01
  254 +7.4516821399E-01 +1.7141258475E-01
  255 +1.0326383699E+00 +1.9681475238E-01
  256 +1.3761744355E+00 +2.4941681197E-01
  257 +3.7521734502E-01 +1.2368565442E-01
  258 +1.4795816350E+00 +3.4521482296E-01
  259 -2.9323206926E-01 +1.4671289669E-01
  260 -2.6854944780E-01 +3.6224789810E-01
  261 +3.0115292353E-01 +2.4984202136E-01
  262 -4.1762369004E-01 +2.6257962734E-01
  263 +1.3541591925E+00 +1.1070395248E-01
  264 -1.4303973946E-01 +1.1017855465E-01
  265 -2.2744877626E-01 +2.3966427931E-01
  266 +1.3556912698E+00 +1.0745794876E-01
  267 +4.5342958635E-01 +2.4542594145E-01
  268 +8.8533803357E-02 +3.2802293845E-01
  269 +3.8684686487E-01 +3.2842813706E-01
  270 -1.4150514101E-01 +3.9982213708E-01
  271 +8.7336987149E-02 +8.2142785523E-03
  272 -4.5911399930E-01 +2.3620140303E-01
  273 +6.2725598496E-01 +3.2686133181E-01
  274 +4.5292058906E-01 +1.2015617410E-01
  275 -1.3228240657E-01 +1.0461869012E-01
  276 -1.5537031231E-01 +6.6724110621E-02
  277 +9.4084710051E-01 +2.1903300685E-01
  278 +7.9063376540E-01 +1.9623092312E-01
  279 -3.0665175652E-01 +9.6089188022E-02
  280 -1.2223069669E-01 +3.1396209145E-01
  281 -4.5235298437E-01 +2.6038531770E-01
  282 -4.6189565410E-01 +2.5286355866E-01
  283 +1.3458352459E+00 +3.0730026439E-01
  284 +8.9825019377E-01 +1.0753718625E-01
  285 +8.0740449999E-01 +2.8824794871E-02
  286 +3.7416972725E-01 +2.6503181387E-01
  287 +7.8766597619E-01 +1.2505547735E-01
  288 +8.9614829872E-01 +1.6376884798E-02
  289 -7.3423705321E-02 +2.6277134863E-01
  290 -4.4291970103E-01 +3.6162064681E-01
  291 +7.1071273474E-01 +3.3836211105E-01
  292 +8.7122569339E-01 +2.9455128852E-01
  293 +3.9780295990E-01 +1.5422014102E-01
  294 -4.7857207424E-01 +3.5433113045E-01
  295 +1.3364872706E+00 +2.5329859682E-01
  296 +2.8818791963E-01 +2.1384097191E-01
  297 -4.5126777838E-01 +1.3427858413E-01
  298 +6.3026089796E-03 +9.7863338879E-02
  299 +4.7457870437E-01 +2.4627556210E-01
  300 +7.1823581569E-01 +1.6916116683E-01
  301 +1.4946784882E+00 +1.8363753116E-01
  302 +5.0392501494E-01 +3.2300694284E-01
  303 -4.4564976231E-01 +2.6122375467E-01
  304 +8.3920402155E-01 +3.0228995440E-02
  305 +6.3299304602E-01 +2.2137168238E-02
  306 -2.1652293780E-01 +2.5940108024E-01
  307 +7.3625215783E-01 +1.9457523894E-01
  308 -1.6094451972E-01 +1.3499901146E-01
  309 +1.3837878147E+00 +3.7660672117E-01
  310 +6.1729413400E-01 +3.4621445819E-01
  311 -1.3906959548E-03 +5.0881170585E-03
  312 -8.1733592140E-02 +3.4209263685E-02
  313 +7.0777449425E-01 +2.7568962927E-01
  314 +1.8212777862E-01 +2.6022007114E-01
  315 +1.0627605407E+00 +2.2422394381E-01
  316 +2.9504307698E-02 +2.0071853298E-01
  317 +1.1963199173E+00 +3.8073506968E-01
  318 +1.4032900504E+00 +1.5928287741E-01
  319 +3.7383693030E-01 +6.1386702980E-02
  320 -2.8683221842E-01 +3.2043807537E-02
  321 +5.4944718137E-01 +2.7414205284E-01
  322 +1.2961771325E+00 +2.8710865726E-01
  323 +1.2428510360E+00 +2.4272887069E-01
  324 +4.4309323355E-01 +3.8117765025E-01
  325 +1.1251819470E+00 +3.8902096913E-01
  326 -6.1592848385E-02 +1.3236490842E-01
  327 +8.6824412291E-01 +2.2605076268E-01
  328 +5.1834002623E-01 +1.0051395793E-01
  329 +1.2703074106E+00 +2.9945339183E-01
  330 +1.0539249324E+00 +3.0345114381E-01
  331 +8.3030460300E-01 +3.9256332765E-01
  332 +8.4811690399E-01 +1.1867117576E-01
  333 -2.2604183283E-01 +3.4947406969E-01
  334 -2.7830469381E-01 +2.5491675556E-01
  335 +3.6412587351E-02 +3.0789799860E-01
  336 +6.1855242897E-01 +3.2264820545E-01
  337 +5.0271754167E-01 +2.0930343919E-01
  338 -1.0647876608E-01 +2.4613051981E-01
  339 +2.3263713612E-01 +1.5828328279E-01
  340 +1.3240390523E+00 +2.6305002932E-01
  341 +1.4104895752E+00 +4.9573972206E-02
  342 +4.6705817065E-01 +5.5203741532E-02
  343 +2.8814123319E-02 +2.2005396850E-01
  344 +2.5064676546E-01 +3.9483437431E-01
  345 -3.2286753903E-01 +1.6684733062E-01
  346 -2.1010852143E-02 +3.5410428253E-01
  347 -1.8552162167E-01 +7.8406407204E-02
  348 +7.0909865492E-01 +2.8608695100E-01
  349 +1.4814483538E+00 +1.7666028020E-01
  350 +4.1237520902E-02 +2.0109778669E-01
  351 -3.5993950671E-01 +2.8171209627E-01
  352 +9.5210199069E-01 +2.8022180839E-01
  353 -1.8160830871E-01 +3.2858241038E-01
  354 +1.2282039394E+00 +3.3883395970E-02
  355 +7.6232379509E-01 +7.0172716062E-02
  356 +6.9448457115E-01 +5.8164355968E-03
  357 +8.9416909975E-01 +2.3702619004E-01
  358 +8.2098500873E-01 +1.8499796020E-01
  359 +2.8540784362E-01 +2.1755827125E-01
  360 -4.4797436888E-01 +2.4000639937E-01
  361 -4.5354354967E-01 +1.1486686994E-01
  362 +2.5199367434E-01 +2.3053252288E-02
  363 +1.2435946292E+00 +2.5085661427E-01
  364 +1.0139807670E+00 +3.7445699157E-01
  365 -3.1047131784E-01 +2.2408165365E-01
  366 -8.4330559016E-02 +3.4473632547E-02
  367 +2.2566866081E-01 +3.2919808196E-01
  368 +1.2124397790E+00 +8.8683622751E-02
  369 -1.2441386185E-01 +1.3461158816E-01
  370 +3.4542129928E-01 +3.5259493466E-01
  371 +3.4660691074E-01 +2.6352171146E-01
  372 +2.0665417627E-01 +3.9636150166E-01
  373 +9.8364233054E-01 +3.1167953140E-01
  374 +1.4585138553E+00 +1.5390262603E-01
  375 +6.5366106715E-01 +5.2712165586E-02
  376 +7.9654694718E-01 +3.9881506137E-01
  377 +1.3745381634E+00 +3.4833988222E-01
  378 -3.0234246417E-01 +1.3456085963E-01
  379 +6.2053359068E-01 +8.9530300889E-02
  380 -1.9422710600E-01 +2.4766835941E-01
  381 +7.7438059424E-01 +1.1250959290E-01
  382 +1.0757509816E+00 +2.9912404259E-01
  383 +8.3345445871E-02 +7.1278341530E-02
  384 +5.6125566439E-01 +3.1488384432E-01
  385 +1.1323504256E+00 +3.5426844054E-01
  386 -4.7532170553E-01 +3.4126809522E-01
  387 -2.9002573778E-01 +1.7414851402E-01
  388 +1.3949757134E+00 +1.9194618244E-01
  389 -2.0416401586E-01 +1.5159149813E-01
  390 +9.8045719083E-02 +2.2058824266E-01
  391 +1.4860288446E+00 +1.3604887679E-01
  392 -2.9221732092E-01 +8.4828920954E-02
  393 +5.1086830641E-01 +2.6338551297E-01
  394 +9.0196803395E-01 +1.8890650231E-01
  395 +3.6557001566E-01 +1.8550313309E-01
  396 +1.4001077231E-01 +2.7493597730E-01
  397 +8.8930270072E-01 +2.4579153426E-01
  398 +3.9116527209E-01 +1.8524313250E-01
  399 -9.9966499057E-02 +3.8306699309E-01
  400 +1.3605550608E+00 +1.0785047986E-01
  401 -1.1840690980E-01 +1.6921232724E-01
  402 +1.6954851642E-01 +2.5377811403E-01
  403 +1.2545798429E+00 +3.2403056909E-01
  404 +8.1567495179E-01 +1.2383115760E-01
  405 -3.2241687111E-02 +3.0854360430E-01
  406 +8.8182559429E-02 +1.9907949093E-01
  407 +9.6381776000E-01 +1.0023693096E-01
  408 +4.3913631803E-01 +3.9798013663E-01
  409 -3.0014632257E-01 +2.0776682371E-01
  410 +8.4271259346E-01 +1.8517518405E-01
  411 +8.6659564942E-01 +2.8477669105E-01
  412 +1.0046463316E+00 +1.6871615944E-01
  413 +3.5244973660E-02 +1.2025490910E-01
  414 +2.5217152088E-01 +2.2186568297E-01
  415 +4.9641898864E-01 +1.7209238503E-01
  416 +1.7524329426E-01 +1.4842313424E-01
  417 +4.5806227432E-01 +2.6174927489E-02
  418 +3.2370999476E-01 +2.8303798381E-01
  419 +7.4580750009E-01 +6.3051242061E-02
  420 +7.9312279009E-01 +1.7405167385E-01
  421 +1.2883717221E+00 +1.5535626106E-01
  422 +1.2924480930E+00 +3.4346510023E-01
  423 +1.1692873946E-01 +2.4900551724E-01
  424 +2.6969150482E-01 +2.4687839997E-01
  425 +9.4424958029E-01 +1.5989738289E-02
  426 +5.5076764139E-01 +3.9425010977E-01
  427 -1.7315108339E-01 +1.9249113729E-01
  428 +8.4677430930E-01 +3.4694287424E-01
  429 -3.1861800755E-01 +2.5184553797E-02
  430 -4.1009344776E-01 +3.4007377172E-01
  431 +1.1359951361E+00 +2.4796147549E-02
  432 -3.5805256466E-01 +2.8972203966E-01
  433 -1.0046506674E-01 +3.8383689383E-01
  434 -2.8512910861E-01 +2.7258729889E-01
  435 +7.3053450583E-01 +1.4655839428E-01
  436 +1.2928253589E+00 +4.5236298411E-02
  437 -4.2499846297E-01 +1.5286344204E-02
  438 +1.3062377148E+00 +2.5154202000E-01
  439 +8.5887661563E-01 +3.6893404209E-01
  440 +1.3663895566E+00 +5.1325914349E-02
  441 -1.7145231440E-01 +2.8409676614E-01
  442 +5.8307111745E-01 +3.8321173239E-01
  443 +6.2403548180E-01 +2.9499162791E-01
  444 +2.0443592884E-01 +3.8137243498E-01
  445 +1.1985035750E-01 +1.1612756656E-01
  446 +9.3038217635E-01 +2.5480065596E-01
  447 +1.0724572680E+00 +2.3273397083E-01
  448 +1.2384443977E+00 +3.4689007020E-01
  449 +2.9545559314E-01 +2.1718405406E-01
  450 +1.0131395910E+00 +6.8876894615E-02
  451 -2.4267592743E-01 +1.3550393722E-01
  452 +5.8272266130E-01 +1.7179429082E-01
  453 +2.4966203105E-02 +1.6748861631E-01
  454 -1.3915538352E-01 +3.1714350839E-01
  455 +9.9736279639E-01 +3.8218180196E-01
  456 -1.7769846365E-01 +3.9616662079E-01
  457 +1.0657559327E+00 +1.9832982275E-02
  458 +4.0524855271E-01 +3.1468980643E-01
  459 -3.9304257902E-02 +1.9403072638E-02
  460 +3.6530653163E-01 +3.9690146434E-01
  461 +5.6696500309E-01 +2.9213918263E-01
  462 -2.9553554651E-01 +1.8390259157E-01
  463 +9.4470747393E-01 +1.4154015037E-01
  464 -6.2281316307E-02 +3.5631995603E-01
  465 +9.2129240037E-01 +2.0678635752E-01
  466 +8.4456303364E-01 +1.0918616553E-01
  467 +8.9876987330E-01 +1.4754931979E-01
  468 +5.1772504575E-01 +2.0815327884E-01
  469 +1.3718985959E+00 +1.9576816718E-01
  470 -2.5230158068E-01 +1.7938856016E-01
  471 +9.0726143328E-01 +1.1311505728E-01
  472 +8.3426790764E-01 +2.2538824151E-02
  473 +1.8782270302E-01 +1.7340265384E-01
  474 -2.7592321177E-03 +3.0275555294E-01
  475 -1.6631943447E-01 +1.9229314929E-01
  476 +7.7008483720E-01 +1.1558250996E-01
  477 +4.9709387953E-01 +2.5414000295E-01
  478 +1.3129832961E+00 +1.5441022791E-01
  479 +4.2551760068E-01 +3.5117598648E-01
  480 +1.1072730099E+00 +9.7157761078E-02
  481 +1.3502766136E+00 +6.3706519200E-02
  482 +5.0472905689E-01 +3.6598328943E-02
  483 -1.4832593279E-01 +1.8696940770E-01
  484 +1.1255349689E+00 +1.5342409202E-01
  485 +9.6061523225E-01 +3.6822328868E-01
  486 -5.7430849111E-02 +9.6629323789E-02
  487 +1.2291565799E+00 +3.6243984847E-01
  488 +1.4201010800E+00 +1.4868987622E-01
  489 -4.9908007317E-01 +2.8154532378E-01
  490 +1.8058041475E-02 +9.6357954132E-02
  491 -3.6135440327E-01 +2.6938391445E-01
  492 +9.6581405693E-02 +7.4209604861E-02
  493 +2.0150226712E-01 +1.7578965169E-01
  494 +3.8144716297E-02 +1.8179218455E-01
  495 +1.3920357546E+00 +3.2416226435E-01
  496 +1.1054697062E+00 +3.5885388016E-01
  497 +1.4664820442E+00 +1.2491392197E-01
  498 +5.5633736988E-01 +3.0817101495E-02
  499 +3.3605113593E-01 +3.4178049722E-01
  500 +1.4560529586E+00 +1.6716815360E-01
  501 +1.0527536758E+00 +3.4931653833E-01
  502 +1.3024309421E+00 +5.2390623096E-02
  503 -2.9760976550E-01 +3.8570637712E-01
  504 +5.8194789801E-01 +7.8793531499E-02
  505 +3.4229461844E-01 +3.1002534119E-01
  506 +1.0731810729E+00 +2.1413637224E-01
  507 +1.1069071990E+00 +1.3919197393E-01
  508 -4.6361668318E-01 +1.6520562334E-01
  509 -2.2356914755E-01 +3.0905786938E-01
  510 +1.4465296909E+00 +1.1813569510E-01
  511 +2.1595371415E-01 +1.0837119352E-01
  512 +4.8608556210E-01 +3.0958781928E-01
  513 +6.4342420454E-01 +3.8095497320E-01
  514 -2.6518036805E-01 +3.7695080344E-01
  515 -3.8157723749E-02 +2.3778691811E-01
  516 +1.4506027532E+00 +1.4054895796E-01
  517 +1.8942534857E-01 +8.5484794134E-02
  518 +1.4106481757E+00 +2.3407709390E-02
  519 +1.2729097491E+00 +2.7107603883E-01
  520 +2.9652356155E-01 +3.9313352033E-01
  521 +2.1650404465E-01 +9.5467397783E-02
  522 +3.9069951204E-01 +7.6405527179E-02
  523 -8.2131644900E-02 +4.9406428264E-02
  524 +1.0886158052E+00 +2.9483806127E-01
  525 +7.2437885339E-01 +3.5362079050E-01
  526 -1.5855880340E-01 +2.7292330725E-01
  527 +2.0444080048E-02 +1.5684318677E-01
  528 +4.3403769821E-01 +3.3545130270E-01
  529 +7.6386695347E-01 +3.9907121133E-01
  530 -3.0334144342E-01 +1.3498991539E-02
  531 +2.1147631418E-01 +2.0232935437E-01
  532 +7.9228725322E-01 +8.5674221634E-02
  533 +9.8087367006E-01 +8.9838485109E-02
  534 +8.9772722093E-01 +2.0729314935E-01
  535 -8.3574773222E-03 +3.8836586198E-01
  536 +1.1209692940E+00 +1.3089098230E-01
  537 +1.2335262040E+00 +1.5405026060E-01
  538 +1.3367408700E+00 +1.0285626590E-01
  539 -6.4174101247E-02 +9.1681856549E-02
  540 +9.4255790437E-02 +1.4808910134E-01
  541 +1.4996583144E+00 +1.4770872391E-01
  542 +1.0937919613E+00 +1.4371461947E-01
  543 +8.5457568521E-01 +1.7397378012E-02
  544 +4.0011352757E-01 +3.0114743504E-01
  545 +2.6870444411E-01 +1.9023197690E-01
  546 -4.1340142504E-01 +3.8740216603E-01
  547 +9.8738610917E-01 +3.2162728663E-01
  548 +1.2450412170E+00 +3.3063834802E-01
  549 +9.4280775603E-01 +1.3515635986E-01
  550 +8.0964749557E-01 +3.6809519784E-01
  551 -3.2429506218E-01 +3.5819183833E-02
  552 -2.0138816904E-01 +7.4128662810E-03
  553 +7.6324530272E-01 +3.8529612416E-01
  554 +4.7244395824E-01 +3.0688355262E-02
  555 +1.1030581080E+00 +1.8632768123E-01
  556 -2.4169798647E-01 +7.4164878602E-02
  557 +1.0376300243E+00 +1.5581931547E-01
