Index a_A_1             c_A_2             e_A_3             g_A_4             i_A_5             b_phi_1           d_phi_2           f_phi_3           h_phi_4           j_phi_5          
   10 -6.1291365240E+00 -6.4818332660E+00 -2.7985471201E+01 -1.8814151634E+00 -1.6553848795E+01 +9.7689165250E+01 +1.0096465223E+01 +3.3924061905E+00 +8.6542341973E+00 +2.9460625417E+02
   11 -1.2869414026E+01 -5.1357204966E+00 -1.8869031435E+01 -2.7673898772E+01 -1.1281349482E+01 +3.2426729672E+02 +7.1966369510E+01 +3.5432316141E+02 +1.5163019835E+02 +3.4014210886E+02
   12 -2.8478425172E+00 -2.4614927123E+01 -2.3509297597E+01 -1.9246714454E+01 -1.2946643497E+01 +1.5745113788E+02 +7.9552436846E+01 +3.0948167390E+02 +1.5841494957E+02 +4.5422310644E+01
   13 -9.9161527007E+00 -2.7382698484E+01 -1.0035633347E+01 -1.7046462054E+01 -6.1131173769E+00 +9.1502541302E+01 +2.5933667600E+02 +3.1838497578E+02 +1.7916014011E+02 +2.7388146237E+02
   14 -1.0087941947E+01 -1.0544197465E+01 -4.8880917369E+00 -2.2533891190E+01 -5.2462512506E+00 +2.6491346825E+01 +6.3038006315E+01 +2.1078938496E+02 +1.5188126251E+02 +1.7176359786E+02
   15 -1.7947452196E+01 -3.9815500503E+00 -4.0955793886E+00 -2.0580256048E+00 -2.0702346653E+00 +2.5624534112E+02 +3.4829897351E+02 +2.4960214552E+02 +3.0193560830E+02 +1.7208371853E+02
   16 -1.7403811826E+01 -2.2110755593E+01 -9.2296818548E+00 -2.5095452202E+00 -1.7613995955E+01 +2.1861381905E+02 +1.4979509968E+02 +1.7850206850E+02 +1.6897052995E+02 +6.7308899203E+01
   17 -2.9508884539E+00 -2.6578373554E+01 -5.0291071616E+00 -2.0307172612E+01 -1.4554277567E+01 +4.1854093388E+01 +1.0717355461E+02 +7.3014756630E+01 +2.1593135739E+02 +4.2654943648E+01
   18 -1.6572113536E+01 -2.7683527925E+01 -8.3786067305E+00 -6.5076470570E+00 -3.4289410835E+00 +7.0309301406E+01 +2.7995488181E+02 +1.6817534184E+02 +1.5354928841E+02 +2.7517014523E+02
   19 -7.6065310639E+00 -2.4667371280E+01 -1.9841992049E+01 -2.6359016834E+00 -1.8428424242E+01 +5.8838467581E+01 +1.0965000749E+02 +1.1763480271E+02 +1.2155325456E+02 +1.3005934370E+02
   20 -4.1779694869E+00 -1.7759579958E+01 -2.7704693014E+00 -2.4451088976E+01 -1.0440832697E+01 +2.3813498211E+02 +7.0992428529E+00 +4.6715433356E+01 +1.5509234094E+02 +2.1842732259E+01
   21 -8.8580651056E+00 -5.7332159759E+00 -1.4323509680E+01 -6.6530903031E+00 -2.7597341240E+01 +1.2448236232E+02 +3.1590365726E+02 +2.1132213821E+02 +1.1449529541E+02 +3.1262165906E+02
   22 -1.8078955653E+01 -2.7728624083E+01 -8.9048404642E-01 -2.0424219461E+01 -3.9715439589E+00 +3.1458316996E+02 +3.0210830095E+02 +4.4760756884E+01 +3.3923496165E+02 +2.0270057206E+02
   23 -2.0525649418E+01 -2.7966543565E+01 -7.6008767098E+00 -2.4014211768E+01 -4.0939871564E+00 +5.4995095660E+01 +1.2169485417E+02 +2.7757806251E+02 +5.7800513134E+01 +3.3565427075E+02
   24 -1.4862568734E+01 -1.4712218302E+01 -1.2970843863E+01 -8.6254249395E+00 -2.3678071178E+01 +2.8453367652E+02 +2.4769953665E+02 +1.7416961841E+02 +1.8947993558E+02 +1.0249334068E+02
   25 -7.7823264848E+00 -1.1402274061E+01 -1.5904179281E+01 -2.5566543274E+01 -5.6279554976E+00 +3.3725455307E+02 +2.8806722709E+02 +3.0465669864E+01 +1.7128270262E+02 +3.0705763007E+02
   26 -6.8657268754E+00 -1.2126014105E+01 -1.0304644745E+01 -5.7850967943E+00 -6.5894492323E-01 +3.5800601590E+02 +3.5233225935E+02 +1.2780131506E+02 +3.5080580480E+02 +5.0905204026E+01
   27 -8.9473475789E+00 -4.4314421430E+00 -2.7856386582E+01 -2.7548096145E+01 -1.4329549301E+01 +2.4030507534E+02 +1.3288829829E+02 +1.8655489893E+02 +2.1527988577E+02 +2.6053716087E+02
   28 -3.5102665135E+00 -2.2245518438E+01 -6.9807405514E+00 -2.1614813105E+01 -2.4891629568E+01 +1.3262717327E+02 +1.6612440125E+02 +1.9873659957E+02 +2.7772020177E+02 +3.5244568121E+02
   29 -2.3114646976E+01 -3.0693691520E+00 -1.3322151941E+01 -1.2251052739E+01 -6.5246333864E-01 +1.8550173597E+01 +2.7251975068E+02 +2.7955517450E+02 +2.4174305291E+02 +3.1627577622E+02
   30 -1.3078814927E+01 -2.0670920516E+01 -1.6712042251E+01 -1.2435647651E+01 -1.3297792619E+01 +3.3667112393E+02 +9.1041326886E+01 +9.2577434911E+01 +6.3169743379E+01 +7.4550965869E+01
   31 -2.0399530600E+01 -2.5786536692E+01 -9.0504374064E+00 -1.4789596559E+01 -3.8908652158E-01 +1.1254884854E+02 +2.1596438943E+01 +2.7492001922E+02 +7.3658866791E+01 +3.2284742122E+02
   32 -2.5016837420E+01 -1.6328466365E+01 -7.9679992151E+00 -2.9567122026E+00 -5.2693732589E+00 +3.1262420810E+02 +1.2388804475E+02 +3.3471970055E+02 +3.3524237667E+02 +1.0915997204E+02
   33 -1.3963620796E+01 -2.7819319256E+01 -1.3215962546E+01 -7.8596641878E+00 -7.5965310034E+00 +6.7054935325E-01 +2.7511932373E+02 +2.3646278868E+02 +3.0490775400E+02 +2.6160388664E+02
   34 -1.9688020620E+01 -1.0103831182E+01 -2.6606325137E+01 -2.7395167892E+01 -2.2314929114E+01 +3.5021555908E+02 +9.4789254645E+01 +1.0399589540E+02 +2.0581557205E+02 +9.4432181031E+01
   35 -9.7354255850E+00 -8.0596669558E+00 -2.6862397166E+01 -1.6779665263E+01 -4.1051871899E+00 +2.9567423758E+02 +6.2602947592E+01 +1.1551741789E+02 +3.3058041092E+02 +1.0129047707E+02
   36 -2.2826349853E+01 -2.6101849670E+01 -3.4558404357E+00 -2.8753647041E+01 -1.3280158348E+01 +7.2684066800E+01 +2.9413643121E+02 +1.1524992577E+02 +3.1682472557E+02 +2.4656999329E+02
   37 -4.7607464486E+00 -1.5970367759E+01 -1.7446094670E+01 -5.2806861734E+00 -8.5903843590E+00 +1.6258352742E+02 +4.4892319850E+00 +3.7137827963E+01 +3.2965068382E+02 +1.0804254231E+01
   38 -2.8699877321E+01 -6.0868564484E+00 -1.6066108773E+01 -2.8033305429E+01 -1.4545231749E+01 +2.2744259188E+02 +1.3101780672E+02 +2.3120416850E+02 +1.0213549436E+02 +8.3968697963E+01
   39 -2.9247166215E+01 -1.4522016034E+01 -3.1867372509E+00 -1.4651227633E+01 -6.9150494082E+00 +3.4667698506E+01 +1.1280731933E+02 +3.5933048866E+02 +1.0877215617E+02 +1.7389953112E+02
   40 -8.8285750731E+00 -4.4005294504E+00 -2.6610381804E+01 -2.2623032989E+01 -2.8500844938E+01 +1.7134707772E+02 +1.4985479715E+02 +2.3503664168E+02 +7.5290994541E+01 +2.0872134609E+02
   41 -4.3067402555E+00 -2.9666168236E+01 -2.5853814861E+01 -2.1296252169E+01 -1.2628115904E+01 +2.1271290983E+02 +3.0352498128E+02 +2.4793133743E+02 +3.0906009138E+02 +3.0810117348E+02
   42 -4.8133378089E+00 -2.4125850378E+01 -2.4757867635E+01 -9.5940458215E+00 -2.5989620477E+01 +2.3415244254E+02 +3.2440105397E+02 +2.7523103186E+02 +1.4472167938E+02 +1.2022616823E+02
   43 -1.0700655903E+01 -1.1248130370E+00 -1.0739884477E+01 -1.5547677247E+01 -5.1868831579E+00 +1.7420139797E+02 +7.0797435337E+01 +3.2962828599E+02 +2.7874401267E+02 +3.4428376674E+02
   44 -1.7023657797E+01 -1.7602190114E+01 -1.7724679328E+01 -2.2627700881E+01 -7.3472982393E+00 +1.9082887467E+02 +1.6725071200E+02 +9.2936032156E+01 +7.5348386447E+01 +1.0466990627E+02
   45 -2.9990835777E+01 -2.0808245157E+01 -2.8072699813E+01 -1.4237434102E+01 -7.1148723406E+00 +1.5506658971E+02 +1.5654273436E+02 +1.0086980369E+02 +2.1333697504E+02 +4.9978818178E+00
   46 -1.9418438757E+01 -2.7408950084E+01 -2.9197035999E+01 -2.5572821996E+00 -1.4111383231E+00 +1.9041657189E+02 +1.8456149836E+02 +2.9631182994E+02 +1.0522044044E+02 +3.2830105876E+02
   47 -9.5253396909E+00 -1.0782108097E+01 -1.4512682505E+01 -1.7743925182E+01 -4.4971931044E+00 +5.9706097761E+01 +1.0798079522E+01 +1.9752370320E+02 +3.4516324024E+02 +6.4709373199E+01
   48 -9.1715930022E+00 -5.5210923687E+00 -1.5316363654E+01 -2.1338266935E+01 -8.5431439892E+00 +3.6088981766E+01 +1.7796982854E+02 +2.1008998266E+02 +3.4020372784E+02 +2.4207348688E+02
   49 -1.6170635668E+01 -1.6688712804E+01 -1.7457827820E+01 -1.5383946391E+01 -2.3514079052E+01 +7.7388794218E+01 +3.0837952476E+02 +1.4844865099E+02 +2.2600442024E+01 +3.3280917328E+02
   50 -1.3956046075E+01 -2.1150570549E+01 -7.3713899091E+00 -6.3099568620E+00 -7.2068841097E+00 +1.9506586470E+02 +1.0787280860E+02 +1.9674924248E+02 +1.7228906854E+02 +3.0902637366E+02
   51 -1.1908533760E+01 -2.9525916522E+01 -2.6632183445E+01 -1.4258095957E+01 -1.8445161768E+01 +2.0920594820E+02 +5.8607296426E+01 +6.6946253144E+01 +3.3082041085E+02 +1.6529798450E+02
   52 -1.9377196504E+01 -2.5252873434E+01 -2.6377224715E+01 -1.8697603844E+01 -5.9577363113E+00 +3.1737726171E+02 +2.3228893672E+01 +3.2572174644E+02 +8.7407999652E+01 +1.2009194367E+02
   53 -2.2066559617E+01 -1.6259548946E+01 -7.2724551178E+00 -2.6299505261E+01 -1.2813653860E+01 +3.0934910533E+02 +6.8294600433E+01 +7.7815376950E+01 +2.9929590549E+02 +4.2102485325E+01
   54 -2.1565196625E+01 -2.1656207296E+01 -1.9458132332E+01 -2.8484628007E+00 -1.7212650269E+01 +1.6576101045E+02 +1.7237978260E+02 +1.6243346110E+02 +1.3754899439E+02 +6.4152787159E+01
   55 -1.3100481107E+00 -1.3749823941E+01 -7.4270661725E+00 -4.7816830588E+00 -9.2434907594E+00 +1.7117464617E+02 +9.9602628782E+01 +2.4971437961E+02 +1.9769728484E+02 +1.0090114314E+02
   56 -1.5107651183E+01 -5.4778329020E+00 -2.1939202082E+00 -1.7890133646E+01 -1.1151815861E+01 +5.5300746966E+01 +2.4079010914E+02 +2.0781213930E+02 +7.8922392077E+01 +2.7216151530E+02
   57 -2.7523349273E+01 -1.9928563492E+01 -1.5965837366E+01 -2.9955656543E+01 -2.2101370153E+01 +1.9060385227E+02 +1.8408288015E+01 +2.2334741507E+02 +3.1131297535E+01 +2.6953912698E+02
   58 -2.9221827800E+00 -2.9422588971E+01 -3.5014472229E+00 -2.0663022106E+01 -2.7199064655E+01 +3.0368061023E+02 +2.2274744316E+02 +1.5868279578E+02 +7.9061181407E+01 +3.5474308828E+02
   59 -5.0209427475E+00 -2.7804704734E+01 -2.2590353045E+01 -7.8268346623E+00 -2.8457461478E+01 +2.1513260507E+01 +1.0365226991E+02 +7.9161874468E+01 +1.9592538699E+02 +2.5947053706E+02
   60 -1.0763388703E+01 -1.8125535308E+01 -2.9275370748E+01 -1.6215782531E+01 -1.6989289333E+01 +1.8994978171E+02 +1.8022872918E+02 +4.3806616053E+01 +1.2871495654E+02 +3.4399356035E+02
   61 -5.8916123159E+00 -2.3238792315E+01 -2.4808346144E+01 -2.3970115220E+01 -2.5221596015E+00 +1.6831092760E+02 +1.1854419263E+02 +5.7700502569E+01 +4.5842549963E+01 +1.7408465292E+02
   62 -1.1164535813E+01 -7.8143151975E+00 -2.1184456643E+01 -8.3277337278E+00 -1.8318041059E+00 +1.9745229965E+02 +1.4317749112E+01 +1.8465701936E+02 +1.8429107026E+01 +2.5538252505E+01
   63 -2.5639289232E+01 -1.8910001250E+01 -2.7892344469E+01 -3.9930104243E+00 -2.2038515446E+01 +1.8869062666E+02 +3.0032470845E+02 +1.0670545288E+02 +1.9758795512E+02 +1.3889498660E+02
   64 -4.4626686633E+00 -1.8675600033E+01 -2.7845276621E+01 -1.7493338119E+01 -5.9113657956E+00 +2.0573415436E+02 +1.4462590400E+02 +9.1276781647E+01 +3.0356802823E+02 +2.1783105698E+02
   65 -2.6744494959E+00 -3.0761635176E+00 -2.1404975231E+01 -1.9202531413E+01 -1.8255582101E+00 +1.9411314329E+02 +7.6636513788E+00 +1.4925107817E+02 +3.4946354476E+02 +3.4411647338E+02
   66 -1.8757918505E+01 -1.1040829390E+01 -2.5798866790E+01 -1.9271382551E+00 -1.0344186564E+01 +1.7442203271E+02 +2.5291692033E+02 +3.3696983055E+02 +3.7295971725E+01 +2.7243567236E+02
   67 -1.9445598128E+01 -1.1851671327E+00 -1.1772459244E+01 -2.1315353417E+01 -2.8757953496E+01 +6.3526738837E+01 +1.0843695597E+02 +3.5547645273E+02 +1.1344850572E+01 +3.1938220649E+02
   68 -9.7480394296E+00 -6.3863393122E+00 -1.9624149624E+01 -2.3919046270E+01 -7.3735238607E+00 +1.3921042007E+01 +3.1160386543E+02 +5.0492260394E+01 +2.7017355713E+02 +1.9930997770E+02
   69 -1.0876904115E+01 -1.8336368107E+01 -1.8490002660E+00 -6.4988223097E+00 -2.7494209408E+01 +5.4451497901E+01 +3.0092796515E+02 +2.5547815246E+02 +2.7396199191E+02 +2.6627865182E+01
   70 -1.1637398158E+01 -2.5771602062E+01 -2.5418186914E+01 -4.0606839896E+00 -2.6746232331E+01 +2.0718171557E+02 +2.6211632178E+01 +2.2460092388E+02 +3.8635981982E+01 +1.0278110882E+02
   71 -5.9899886184E+00 -1.0869251272E+01 -2.8363304785E+00 -1.4379543456E+01 -2.5473431492E+01 +1.5381393170E+02 +1.8881961771E+02 +3.1480896009E+02 +2.8358584207E+01 +8.6077332858E+01
   72 -1.2569850043E+01 -6.6760381674E+00 -1.4001802761E+01 -2.2319224179E+01 -6.6701708563E+00 +7.9396029074E-01 +1.5839536092E+02 +3.2785107327E+02 +1.1638331354E+02 +2.8636257286E+02
   73 -1.6897032212E+01 -1.0352050204E+01 -2.6090435206E+00 -6.2612356519E+00 -2.8231141921E+01 +2.8861441050E+02 +2.5439366644E+02 +1.2610165407E+02 +9.0783975908E+01 +1.1617209326E+02
   74 -1.7535916296E+01 -9.5807495968E+00 -1.7911492285E+01 -2.4001421839E+01 -2.5653495751E+01 +1.2964433575E+02 +2.1881914802E+01 +1.6255336854E+02 +2.3282323963E+02 +2.0208427613E+02
   75 -1.5942746713E+01 -1.1110660578E+01 -2.9255665835E+01 -3.3037410725E+00 -1.9367114107E+01 +3.0656111462E+02 +1.1895577108E+01 +3.0726836985E+02 +2.9446157612E+02 +3.1717342828E+02
   76 -2.3285033477E+01 -5.7942454170E+00 -2.9610536040E+01 -2.1516663223E+01 -2.5977485180E+00 +2.7910308238E+02 +3.0669950957E+02 +9.1083135068E+01 +8.4324855455E+01 +2.7759995342E+01
   77 -1.5606603950E+01 -9.4168172413E+00 -7.7251121370E+00 -1.2080006565E+01 -1.5261726964E+01 +1.8103421692E+02 +4.6160207626E+00 +3.3557510984E+02 +2.9008558492E+02 +2.6092674687E+02
   78 -9.2504322329E-01 -1.5482216471E+01 -1.7613910122E+01 -1.4020927678E+01 -7.2611391061E+00 +2.0351572522E+02 +3.6930569221E+01 +1.8569611052E+01 +2.5812413710E+01 +3.1359957098E+02
   79 -4.1706125301E+00 -2.6174489657E+01 -1.7133844774E+01 -1.9489929380E+01 -9.2213956080E+00 +1.0553085268E+02 +2.5333389325E+02 +9.9688871699E+01 +1.1803892142E+02 +2.6057153388E+02
   80 -1.2217889859E+01 -1.7555625101E+01 -1.9169879054E+01 -2.5245024666E+01 -2.9827321994E+01 +7.1840359034E+01 +2.6003933598E+02 +1.8828213133E+02 +1.1904657810E+02 +1.3327071000E+02
   81 -1.4698753199E+01 -1.7819019832E+01 -5.7523564226E+00 -6.2179794695E+00 -2.2874690236E+01 +5.3305316649E+01 +3.2734592454E+02 +4.2830498372E+01 +2.1352551650E+02 +3.0835531925E+02
   82 -2.5609841140E+01 -2.3425256161E+01 -2.4385695838E+01 -6.6023712347E+00 -2.4863119178E+01 +1.0068989901E+02 +2.9934713863E+02 +2.8271989148E+01 +1.6266641525E+01 +5.7888766087E+01
   83 -2.7320117821E+01 -1.4935943370E+01 -2.5275660136E+01 -1.6062846375E+01 -5.5590198540E-01 +1.9531487222E+02 +6.5172073338E+01 +2.0272965935E+02 +2.2453704483E+02 +3.5719678256E+02
   84 -3.1893780978E+00 -1.2135909353E+00 -1.6271183332E+01 -8.4092702342E+00 -1.2979577991E+01 +2.4049397571E+02 +3.2608504287E+02 +3.3793803932E+02 +2.6041057005E+02 +3.5811708041E+02
   85 -5.8933531080E+00 -1.0968420452E+01 -1.9411994326E+01 -1.8597671110E+01 -2.2817148559E-01 +1.6774713781E+02 +2.0514899456E+02 +1.8699565636E+02 +8.4726505271E+01 +1.0508991630E+02
   86 -1.7181241957E+01 -2.7166007792E+01 -1.4522911486E+01 -1.5919661786E+01 -2.7928833881E+01 +3.4426733794E+02 +1.7943103647E+02 +2.4503480484E+02 +3.1157283918E+02 +3.1078252982E+02
   87 -4.8304705580E+00 -6.3917704034E+00 -1.4069423902E+01 -1.2124905971E+01 -2.9846194517E+01 +1.0340302184E+01 +1.9204695628E+02 +2.7298713688E+01 +2.0111722371E+02 +3.5579218050E+02
   88 -2.1700284817E+01 -2.1425275267E+01 -8.5303980988E+00 -1.3300468194E+01 -1.9669852309E+01 +2.2971840778E+01 +1.7080369814E+01 +5.1891441653E+01 +2.3286891118E+02 +1.1728676329E+02
   89 -2.9195943499E+01 -1.7184129403E+01 -7.2216047174E+00 -2.4545004221E+01 -2.7423120450E+01 +9.1342997090E+01 +1.5624252962E+02 +3.5922636837E+02 +2.5017510156E+02 +3.2524317368E+02
   90 -1.2220242448E+01 -8.4374633860E+00 -2.1970999058E+01 -1.2798137248E-01 -1.2657098876E+01 +4.2787631168E+01 +3.5627883230E+02 +2.5046314158E+02 +2.6510072172E+02 +3.0844436907E+02
   91 -1.4000942801E+01 -5.1924419141E+00 -2.4864059106E+01 -2.7116281782E+01 -2.3310450153E+01 +1.5644863487E+02 +1.5908241746E+01 +7.9792827246E+01 +1.1742232411E+00 +2.1297214939E+02
   92 -1.5414728812E+01 -5.6482438955E+00 -1.8428056364E+01 -9.9507413746E+00 -4.3909081787E+00 +1.8148538051E+02 +3.1798319208E+02 +2.5556062980E+02 +2.3077685460E+02 +7.0435152721E+01
   93 -2.8662584286E+00 -2.1002570945E+01 -6.2515302770E+00 -4.3093473587E+00 -1.7021097881E+01 +1.2834273498E+02 +1.5071172779E+02 +3.2540954398E+02 +9.7169839418E+01 +8.6030374175E+01
   94 -2.5586465472E+01 -1.3335629934E+01 -1.2096464689E+01 -2.3492630418E+01 -1.8952293180E+01 +2.4445815092E+02 +1.5760655718E+02 +1.6374494956E+02 +2.9846430373E+02 +1.1610634324E+02
   95 -9.5205761683E+00 -1.3849409287E+01 -1.8272024462E+00 -9.6559834997E+00 -9.1488649651E+00 +1.2287225878E+02 +2.7739002607E+02 +1.5017161668E+02 +2.9238329466E+02 +3.4331455478E+02
   96 -2.7871865795E+01 -2.3162312575E+01 -1.1081366817E+01 -4.9439997052E+00 -1.8067902702E+01 +9.0736087751E+01 +2.8206558766E+02 +1.2123302590E+02 +1.3609930659E+02 +3.2494178437E+02
   97 -1.7081143185E+01 -1.0618178629E+01 -2.5223979316E+01 -8.3346381057E+00 -8.0526277041E+00 +1.7990829877E+02 +9.5193159208E+01 +2.4725038784E+02 +2.7669171306E+02 +2.0361652888E+02
   98 -1.7748667327E+01 -1.0236532045E+01 -2.9863321130E+01 -2.1370345880E+01 -2.3810501413E+01 +1.4251538101E+02 +1.0800264780E+02 +2.8335834958E+02 +1.5492025064E+02 +3.6730615693E+01
   99 -5.4045491199E+00 -1.6948875110E+01 -2.2299026005E+01 -1.8415432328E+01 -2.0369677014E+01 +2.4983958292E+02 +9.8860347312E+01 +3.1352528068E+02 +6.6402232729E+01 +2.8157645277E+02
  100 -1.0340783754E+01 -2.6583346204E+01 -2.5507203104E+01 -9.6969371990E+00 -8.4689161094E+00 +9.9974645606E+01 +3.2082482917E+02 +1.2829358513E+02 +3.2741624155E+02 +3.4831530183E+02
  101 -5.9099906568E+00 -2.1593566952E+01 -7.7749626217E+00 -2.7813000346E+01 -2.7907755411E+01 +1.1867844307E+02 +9.7502717859E+01 +2.1266459522E+02 +2.9147177903E+02 +7.7692870388E+01
  102 -3.3959908930E+00 -9.7513897356E+00 -1.1096894461E+01 -1.2870701617E+01 -1.0834198644E+01 +1.9267537961E+02 +3.4469136280E+02 +3.2086522269E+02 +1.9152274959E+02 +7.3241804384E+01
  103 -1.5183805519E+01 -2.9176308295E+01 -4.5777458850E+00 -1.3554048499E+01 -2.4814268241E+01 +2.8251470261E+01 +3.3025712984E+02 +1.1860699117E+02 +8.6179703185E+01 +3.4207680881E+02
  104 -7.9532618894E+00 -2.5433184019E+01 -1.6761466761E+01 -1.7139981624E+01 -1.4109915652E+01 +3.3671789098E+02 +2.0199957297E+02 +2.5969351064E+02 +1.1121971302E+02 +2.4313569464E+02
  105 -2.1252840760E+00 -2.9696064549E+01 -2.1242934992E+01 -1.0873538763E+01 -6.4430241426E-01 +2.1264993852E+02 +3.2806115976E+02 +1.8189918777E+02 +2.2100763389E+01 +3.1548972713E+02
  106 -7.0141978665E+00 -4.9780037225E+00 -1.3987493403E+01 -7.9534742943E-01 -1.1051481927E+01 +2.9072465729E+02 +7.2616560930E+01 +3.3967220429E+02 +5.5941236075E+01 +1.0250061268E+01
  107 -1.7552852400E+01 -5.5628151720E-01 -4.3333602553E+00 -6.4517379089E-01 -1.4592038303E+01 +2.7550451254E+02 +3.0886643603E+02 +2.3093822563E+02 +3.2107397236E+02 +2.2872596927E+02
  108 -6.1854127849E-01 -4.7576954439E+00 -2.7923207270E+01 -2.6632657751E+00 -1.1770496966E+01 +4.4635995113E+01 +1.6161382177E+02 +3.5500760272E+02 +1.3926176099E+02 +2.5864203786E+02
  109 -2.4920305121E+01 -1.1717783210E+01 -1.7222615937E+01 -3.6560160631E+00 -2.2177879575E+01 +2.3234569085E+02 +4.7384682440E+01 +9.8085201750E+01 +2.7022310748E+02 +1.4897376022E+02
  110 -2.0305789894E+01 -4.6839641840E+00 -1.7324789531E+00 -1.4737960625E+01 -5.0799424706E+00 +1.0737287164E+02 +2.4480830445E+02 +3.5920467679E+02 +4.9448226952E+01 +2.3388720923E+01
  111 -2.9633181814E+01 -1.9338772665E+01 -6.8085606695E+00 -1.8304475088E+01 -2.4585871466E-01 +1.6173074255E+02 +1.5734664638E+01 +3.5756861165E+02 +1.1490258035E+02 +3.4362269327E+02
  112 -2.1817749857E+00 -4.2311651582E+00 -1.7523294804E+00 -1.0069161677E+01 -9.2101967669E+00 +1.3573484923E+02 +2.4295777444E+02 +1.7391580477E+02 +9.3602926268E+01 +2.8752410859E+02
  113 -2.4457724169E+01 -9.7634148708E+00 -1.7228893677E+01 -1.8489378288E+01 -2.0133766408E+01 +1.8605112295E+02 +3.0582254810E+02 +2.7080386088E+02 +1.6153340213E+02 +2.2936458086E+02
  114 -1.3283713873E+01 -2.5049301494E+01 -2.9144551437E+01 -2.4923281896E+01 -1.6921169774E+01 +3.1999874622E+02 +3.2499699880E+02 +2.9934990339E+02 +3.8780427930E+01 +1.5232793574E+02
  115 -1.7020738201E+01 -2.9017216038E+01 -4.5350830087E+00 -1.9839086643E+01 -2.1481819226E+01 +1.7126091367E+02 +1.8164900532E+02 +1.4838196432E+02 +1.4566070795E+02 +2.1060587491E+02
  116 -2.9084994115E+01 -7.0235357826E+00 -2.0422448232E+01 -1.8870627531E+01 -1.4932284633E+01 +2.3629747570E+02 +1.9080388968E+02 +6.4312140613E+00 +7.9915200719E+01 +8.3182067309E+01
  117 -7.7574085510E+00 -1.0767456434E+01 -8.3491552961E+00 -2.7913756649E+01 -1.8512129225E+00 +9.9487501406E+01 +2.3702625264E+02 +2.3711206483E+02 +1.8748641870E+01 +1.0854213047E+02
  118 -1.6317771214E+01 -1.6107364978E+01 -1.5340200217E+01 -2.9511386599E+01 -9.1730321103E+00 +2.0784395926E+02 +1.6849478834E+02 +7.6809114555E+01 +2.0109529986E+02 +1.7891215361E+02
  119 -1.5303873326E+01 -1.6143303423E+01 -2.6207042411E+00 -2.6704267154E+01 -6.5359771681E+00 +1.2481830769E+02 +1.1267486820E+02 +2.7253578934E+02 +1.7928828714E+02 +2.8315954970E+02
  120 -1.7592008348E+01 -2.6238015800E+01 -1.2767171030E+01 -4.1059401517E+00 -2.9093365572E+00 +2.1431975967E+02 +3.3376274977E+02 +3.3663180767E+02 +2.2136650693E+02 +2.4728803676E+02
  121 -4.2440165361E+00 -4.5984455507E+00 -2.7944843601E+01 -1.4576461762E+01 -9.2298196989E+00 +2.1959693909E+02 +2.1160754081E+02 +5.5929251398E+01 +5.9267548011E+01 +1.3559272138E+02
